[2025-05-30 20.34.54] [INFO] Application starting.
[2025-05-30 20.34.54] [ERROR] Failed to load font: assets/fonts/ascii_16x16.png
Exception: System.InvalidOperationException: You need to initialize the OpenGL binding first by calling LoadBindings() or creating a compatible OpenGL window.
   at OpenTK.Graphics.BindingsBase.Uninitialized()
   at OpenTK.Graphics.OpenGL4.GL.GenTexture()
   at CoolRetroPowershellTerm.BitmapFont.LoadTexture(String path) in C:\Source\cool-retro-powershell-term\src\CoolRetroPowershellTerm\BitmapFont.cs:line 32
   at CoolRetroPowershellTerm.BitmapFont..ctor(String path, Int32 glyphWidth, Int32 glyphHeight, Int32 gridCols, Int32 gridRows) in C:\Source\cool-retro-powershell-term\src\CoolRetroPowershellTerm\BitmapFont.cs:line 25
   at CoolRetroPowershellTerm.Program.Main(String[] args) in C:\Source\cool-retro-powershell-term\src\CoolRetroPowershellTerm\Program.cs:line 31
[2025-05-30 20.34.55] [INFO] Window created successfully.
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.262
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.264
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.265
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.265
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.266
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.267
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.267
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.268
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.268
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.268
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.269
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.270
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.270
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.270
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.271
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.271
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.272
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.272
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.272
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.273
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.273
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.273
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.274
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.274
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.278
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.279
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.279
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.280
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.280
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.281
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.281
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.282
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.282
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.282
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.283
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.283
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.283
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.284
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.284
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.285
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.285
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.286
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.286
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.287
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.288
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.288
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.288
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.289
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.289
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.292
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.292
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.292
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.293
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.293
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.294
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.294
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.295
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.296
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.298
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.298
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.299
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.299
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.299
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.300
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.300
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.301
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.301
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.302
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.302
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.303
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.303
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.304
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.304
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.304
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.305
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.305
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.305
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.306
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.307
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.307
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.308
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.308
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.308
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.312
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.313
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.313
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.314
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.315
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.315
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.316
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.316
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.316
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.317
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.317
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.318
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.318
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.319
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.319
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.320
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.320
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.321
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.321
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.322
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.322
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.323
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.323
